worker_id,task_id,task_response_id,Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Category 1,Category 2,Category 3,Severity Rating,Severity Description
4TG67HVWJNDP,3fe0663b-5912-4887-ba40-0c9ce23499a9,04d14ffa-30e8-471e-b139-aef29b4bc35e,tranny,tranny,"","",sexual orientation / gender,none,none,2.8,Severe
TC9FHXCXZWRA,f3792474-982c-4fde-b2cf-3d05e4459066,491128f2-7f0c-4f8a-9beb-b0abbbf70828,w@nkers,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
QRFN2MNYRJMF,56b94ff3-2a17-42a2-a90f-6f1b7367d601,7a01575b-5f5c-4ded-b4d3-288b0b9725ed,wank,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
YKFXDFCC3WM2,61ecc0ba-0ae1-41cd-ac5e-c6c787e7e3c3,e58eebd1-544a-4746-bb92-3ae672b08dfc,upskirts,upskirt,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
9RHJY2Q9ZTEG,16e69d00-617b-4d36-8713-9170fe32fa01,d42c4619-a49a-452d-9430-b5d3a1d9128d,zipperhead,zipperhead,"","",racial / ethnic slurs,none,none,2.4,Strong
Z7J7W3XCP4XC,86ce56fe-f29a-486f-9168-5caabe3c13f9,c9362e86-eb1c-4a71-82fb-06065502dbd1,willy-whacker,willy-whacker,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
3796EY394VG3,d7f36d64-4af8-485f-8bf9-38b8d23380f3,28eb54dc-5c37-4677-a7ca-999decf12239,wang wrangler,wang,"","",sexual anatomy / sexual acts,none,none,2,Strong
2ER9TZ79TR2V,8963f59f-7509-4ac2-8344-3fd1b0a0413e,579c659b-e7d3-4df2-bf70-046e1f6c1d87,trashbtch,bitch,trash,"",sexual orientation / gender,none,none,1.4,Mild
GGXWVNZT3PAC,60ed8ec9-b41d-40b3-98d6-378d1db3bca4,a78875e6-0ad7-4f5d-83ea-60968e9c23f2,twat waffle,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2,Strong
QHKQ32WVQEGN,f5fc7ed3-683b-4459-84c2-b6a902a597c7,e9b0973f-bf19-4951-9174-8d349e96f648,tramp,tramp,"","",sexual orientation / gender,none,none,1.6,Strong
Z7J7W3XCP4XC,8ec95fcd-95de-48f4-9735-e1d8b2a72a52,7371bdb2-12d8-461f-aa85-dcb2a3498705,wetback,wetback,"","",racial / ethnic slurs,none,none,3,Severe
XJKGQQWFXKTX,f01144dc-7068-4e38-a2f0-5bc65a15a138,8f17bc1a-76b0-4be3-997e-2f0ceac713d4,wet back,wetback,"","",racial / ethnic slurs,none,none,2.8,Severe
7DY9YPQK4HG7,c5b1ccc4-9937-47c7-a962-f80d0e980f66,60d9cd30-f45e-4491-9452-b067971b6785,wank3r,wank,"","",sexual anatomy / sexual acts,other / general insult,none,1,Mild
2TF6K69NCTKJ,002fba37-3477-4bc6-ae67-6bb7146cf3f4,91b46007-b42e-4b83-96ad-67c43952ff8d,whack off,whack off,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
QRFN2MNYRJMF,b54ad767-3c6c-4337-a5ea-5c1d7f26d7c6,c2fd2f62-981e-48ea-80da-b70840e1d33a,twatface,twat,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong
DQF4H44Q9Y7G,b3e3d52d-8a92-42fb-b6fe-2c7f1106499b,91e7a5c4-679d-4574-b535-57075e825c1d,vag,vagina,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
RP7MDHXYNRPN,38fd16aa-2c1c-43a0-a845-f4785f60ea67,874b7c5a-1464-4055-ad2c-8097aab7f39b,tacohead,tacohead,"","",racial / ethnic slurs,none,none,2.4,Strong
DPNAMHPJRREC,5b70681f-dc08-4519-acea-a59406dafeab,cb106b86-89df-41ab-9c08-3231b47d8800,vajayjay,vagina,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
FDMQXAZTF74K,e5388eb3-4d1a-40d0-8df7-65e4eb41539a,1585172a-fc9e-4148-9a8c-ce37df16a21a,wh0re,whore,"","",sexual orientation / gender,none,none,2,Strong
NE6AHWDY7MDY,496054f1-ce53-4b7d-9872-d25755f24c27,cf1dea77-9dc2-40a4-9b0f-80bf99a64b31,wetbacks,wetback,"","",racial / ethnic slurs,none,none,2.6,Severe
APKAYMEPJ3TR,dc61ccb0-c79e-4d55-a1ac-2986d06c9d33,b7a132da-53c7-40ce-824e-a425842a2074,tossing salad,tossing salad,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
QRFN2MNYRJMF,d4a799b2-5d14-4190-a395-24ddcf9a5586,537d0087-e5e3-4c56-a936-cbdf2cb6bfd4,throat yogurt,throat yogurt,"","",bodily fluids / excrement,none,none,1.8,Strong
